anomaly_id,latitude,longitude,nearest_industry,nearest_industry_name,distance_m,land_cover,nearest_forest_km,population_proximity
ANM0001,29.26759,86.29238,none,Facility_0,16719.4,residential,1.79,high
ANM0002,21.27984,84.1268,industrial_zone,Facility_1,543.0,forest,1.01,high
ANM0003,29.2457,86.26971,none,Facility_2,19955.5,unknown,0.3,high
ANM0004,21.02219,90.69932,none,Facility_3,18188.0,industrial,1.69,high
ANM0005,27.61289,85.24665,power_plant,Facility_4,944.4,unknown,10.85,high
ANM0006,24.39688,85.16933,none,Facility_5,17553.4,forest,1.94,low
ANM0007,14.93025,89.61315,none,Facility_6,6596.3,industrial,1.35,low
ANM0008,24.38142,85.16846,none,Facility_7,19986.6,industrial,7.77,medium
ANM0009,27.86264,82.09102,oil_gas,Facility_8,456.6,unknown,2.59,medium
ANM0010,24.50494,77.6744,industrial_zone,Facility_9,1505.3,residential,7.16,low
ANM0011,26.96457,75.63557,refinery,Facility_10,1813.7,industrial,5.81,unknown
ANM0012,33.101,70.8951,none,Facility_11,18455.5,agricultural,5.81,unknown
ANM0013,10.93374,74.53015,landfill,Facility_12,394.5,agricultural,1.82,high
ANM0014,19.11977,79.69728,none,Facility_13,8612.4,industrial,4.27,high
ANM0015,20.94841,80.86951,industrial_zone,Facility_14,2108.0,industrial,14.52,medium
ANM0016,23.70502,87.5339,factory,Facility_15,121.5,forest,6.79,medium
ANM0017,27.73047,82.2977,mine,Facility_16,905.5,unknown,6.11,low
ANM0018,27.86934,82.10761,power_plant,Facility_17,1476.0,unknown,3.03,medium
ANM0019,25.5336,94.91892,none,Facility_18,14844.0,forest,5.83,high
ANM0020,21.70728,88.97951,landfill,Facility_19,2807.7,residential,3.67,medium
ANM0021,23.15302,79.17571,none,Facility_20,5081.4,forest,0.9,low
ANM0022,28.58676,79.08797,refinery,Facility_21,334.6,water,1.77,high
ANM0023,14.11273,82.59218,none,Facility_22,14088.9,agricultural,0.85,unknown
ANM0024,10.59457,72.45224,none,Facility_23,17022.2,water,5.47,high
ANM0025,15.64767,84.28319,none,Facility_24,8578.3,mining,0.5,unknown
ANM0026,10.40413,79.4618,oil_gas,Facility_25,2182.9,unknown,0.46,high
ANM0027,29.76432,73.02231,industrial_zone,Facility_26,3760.8,forest,1.08,unknown
ANM0028,26.98656,75.64929,power_plant,Facility_27,939.4,unknown,2.38,unknown
ANM0029,32.95582,91.82678,oil_gas,Facility_28,195.6,agricultural,0.88,unknown
ANM0030,24.36941,85.17085,none,Facility_29,16581.6,forest,6.56,unknown
ANM0031,32.63973,74.15227,none,Facility_30,15471.8,residential,3.87,low
ANM0032,17.25156,69.1304,none,Facility_31,17569.7,agricultural,25.57,low
ANM0033,17.3053,84.15305,refinery,Facility_32,1266.8,unknown,17.07,low
ANM0034,28.10365,81.13323,refinery,Facility_33,2028.0,unknown,3.59,high
ANM0035,25.50674,80.18645,industrial_zone,Facility_34,2330.5,agricultural,3.18,low
ANM0036,30.3409,85.21023,oil_gas,Facility_35,1649.3,unknown,0.6,low
ANM0037,15.90005,91.3126,oil_gas,Facility_36,4340.5,agricultural,8.24,unknown
ANM0038,28.5196,84.6712,industrial_zone,Facility_37,5472.7,industrial,17.63,medium
ANM0039,12.44441,69.30241,factory,Facility_38,2007.6,agricultural,3.29,medium
ANM0040,28.14384,93.68545,none,Facility_39,7328.2,unknown,7.9,low
ANM0041,20.94613,80.89412,industrial_zone,Facility_40,822.7,forest,0.1,medium
ANM0042,29.78257,73.02664,none,Facility_41,7895.6,forest,36.94,high
ANM0043,27.12098,85.70514,none,Facility_42,9061.4,industrial,0.53,medium
ANM0044,31.7145,77.33899,factory,Facility_43,3935.5,unknown,7.56,medium
ANM0045,32.54438,95.0312,none,Facility_44,19703.1,unknown,0.27,medium
ANM0046,33.47132,71.68112,none,Facility_45,14173.2,mining,1.72,medium
ANM0047,22.69065,93.69077,refinery,Facility_46,1547.3,unknown,2.01,medium
ANM0048,13.30374,76.99939,factory,Facility_47,911.5,unknown,5.29,medium
ANM0049,18.07264,84.38726,none,Facility_48,5635.3,industrial,0.33,medium
ANM0050,27.89243,82.11514,oil_gas,Facility_49,6282.8,agricultural,2.25,low
ANM0051,10.74822,70.48117,oil_gas,Facility_50,1215.6,unknown,1.21,medium
ANM0052,30.65769,72.01154,power_plant,Facility_51,488.2,water,0.61,unknown
ANM0053,12.25524,71.0018,none,Facility_52,6375.8,agricultural,8.42,unknown
ANM0054,26.34517,74.97373,none,Facility_53,7753.0,forest,2.41,medium
ANM0055,29.74305,73.03316,none,Facility_54,19700.4,mining,0.49,medium
ANM0056,29.27423,86.31705,none,Facility_55,11878.4,agricultural,2.87,low
ANM0057,34.87754,90.39104,industrial_zone,Facility_56,1260.6,unknown,0.98,unknown
ANM0058,23.29336,83.97635,mine,Facility_57,2277.4,agricultural,0.01,low
ANM0059,26.98356,75.62377,oil_gas,Facility_58,1063.3,forest,0.55,unknown
ANM0060,24.47646,77.65475,power_plant,Facility_59,2235.2,unknown,5.98,low
ANM0061,26.96035,75.6211,none,Facility_60,19190.4,forest,0.01,low
ANM0062,20.92854,80.88217,industrial_zone,Facility_61,1583.7,forest,2.39,medium
ANM0063,27.7502,82.29206,mine,Facility_62,2933.8,residential,3.5,low
ANM0064,16.18646,80.75446,none,Facility_63,15496.6,unknown,1.49,medium
ANM0065,28.19573,91.63712,landfill,Facility_64,857.1,forest,4.02,low
ANM0066,34.93702,72.65129,mine,Facility_65,5217.8,agricultural,9.14,unknown
ANM0067,12.1466,90.52397,mine,Facility_66,218.1,unknown,3.13,high
ANM0068,17.25327,73.13983,factory,Facility_67,1412.8,unknown,2.94,low
ANM0069,28.1325,77.89998,power_plant,Facility_68,1103.8,industrial,0.76,high
ANM0070,24.40907,85.15496,industrial_zone,Facility_69,1344.3,forest,3.16,low
ANM0071,29.41156,85.97172,factory,Facility_70,2820.5,forest,11.6,high
ANM0072,27.73516,82.27229,industrial_zone,Facility_71,790.8,agricultural,2.92,unknown
ANM0073,26.13355,74.89209,none,Facility_72,9171.1,forest,3.64,high
ANM0074,31.70575,91.56273,factory,Facility_73,1241.1,water,14.38,unknown
ANM0075,23.53296,70.70017,power_plant,Facility_74,2242.9,forest,2.0,unknown
ANM0076,27.61018,85.22017,factory,Facility_75,1384.1,industrial,0.23,low
ANM0077,32.36723,92.04354,factory,Facility_76,1155.6,water,10.5,low
ANM0078,13.25525,81.53491,none,Facility_77,11177.2,residential,3.46,low
ANM0079,9.58891,85.33782,mine,Facility_78,86.6,forest,0.71,unknown
ANM0080,28.56338,79.09272,none,Facility_79,8264.4,unknown,0.44,medium
ANM0081,24.50142,77.65144,none,Facility_80,13824.6,mining,3.34,low
ANM0082,29.92914,92.96127,industrial_zone,Facility_81,4189.9,mining,7.85,high
ANM0083,22.09346,94.38413,none,Facility_82,5540.9,forest,0.16,low
ANM0084,23.70608,87.51062,oil_gas,Facility_83,2373.8,forest,0.36,high
ANM0085,21.33972,76.70789,power_plant,Facility_84,768.8,unknown,0.56,low
ANM0086,24.26903,88.14145,power_plant,Facility_85,1001.3,agricultural,0.85,low
ANM0087,21.27894,83.33107,none,Facility_86,13586.9,agricultural,4.99,medium
ANM0088,10.71068,75.67165,industrial_zone,Facility_87,3605.4,industrial,0.28,low
