anomaly_id,latitude,longitude,brightness,confidence,detections_30d,persistence_score,first_detected,last_detected,n_detections_total
ANM0001,29.26759,86.29238,344.1,75.1,7,0.54,2026-07-20,2026-09-06,14
ANM0002,21.27984,84.1268,344.6,73.1,9,0.58,2026-07-10,2026-09-06,15
ANM0003,29.2457,86.26971,346.0,89.0,1,0.02,2026-09-06,2026-09-06,1
ANM0004,21.02219,90.69932,332.6,43.0,1,0.02,2026-09-05,2026-09-05,1
ANM0005,27.61289,85.24665,340.9,71.7,12,0.64,2026-07-12,2026-09-05,21
ANM0006,24.39688,85.16933,346.9,80.5,7,0.54,2026-07-10,2026-09-05,10
ANM0007,14.93025,89.61315,336.2,57.0,1,0.02,2026-09-04,2026-09-04,1
ANM0008,24.38142,85.16846,343.2,74.8,3,0.46,2026-07-14,2026-09-04,8
ANM0009,27.86264,82.09102,349.3,66.0,1,0.02,2026-09-04,2026-09-04,1
ANM0010,24.50494,77.6744,348.1,63.7,12,0.64,2026-07-28,2026-09-04,14
ANM0011,26.96457,75.63557,339.5,80.8,7,0.54,2026-07-18,2026-09-03,9
ANM0012,33.101,70.8951,299.3,94.0,1,0.02,2026-09-03,2026-09-03,1
ANM0013,10.93374,74.53015,331.2,78.0,1,0.02,2026-09-02,2026-09-02,1
ANM0014,19.11977,79.69728,323.6,53.0,1,0.02,2026-09-02,2026-09-02,1
ANM0015,20.94841,80.86951,344.8,79.2,8,0.56,2026-07-11,2026-09-02,16
ANM0016,23.70502,87.5339,343.9,77.8,8,0.56,2026-07-11,2026-09-02,17
ANM0017,27.73047,82.2977,339.8,82.9,8,0.56,2026-07-12,2026-09-01,12
ANM0018,27.86934,82.10761,343.6,74.8,4,0.48,2026-07-14,2026-09-01,8
ANM0019,25.5336,94.91892,310.0,90.0,1,0.02,2026-09-01,2026-09-01,1
ANM0020,21.70728,88.97951,297.7,58.0,1,0.02,2026-08-30,2026-08-30,1
ANM0021,23.15302,79.17571,325.5,74.0,1,0.02,2026-08-30,2026-08-30,1
ANM0022,28.58676,79.08797,350.6,74.2,7,0.54,2026-07-12,2026-08-30,14
ANM0023,14.11273,82.59218,311.2,59.0,1,0.02,2026-08-29,2026-08-29,1
ANM0024,10.59457,72.45224,325.3,71.0,1,0.02,2026-08-29,2026-08-29,1
ANM0025,15.64767,84.28319,325.8,67.0,1,0.02,2026-08-28,2026-08-28,1
ANM0026,10.40413,79.4618,295.7,53.0,1,0.02,2026-08-28,2026-08-28,1
ANM0027,29.76432,73.02231,341.8,74.6,5,0.5,2026-07-24,2026-08-28,9
ANM0028,26.98656,75.64929,344.8,63.5,2,0.053,2026-08-26,2026-08-27,2
ANM0029,32.95582,91.82678,307.9,59.0,1,0.02,2026-08-27,2026-08-27,1
ANM0030,24.36941,85.17085,337.1,54.0,1,0.02,2026-08-26,2026-08-26,1
ANM0031,32.63973,74.15227,288.3,93.0,1,0.02,2026-08-26,2026-08-26,1
ANM0032,17.25156,69.1304,301.6,83.0,1,0.02,2026-08-25,2026-08-25,1
ANM0033,17.3053,84.15305,328.3,54.0,1,0.02,2026-08-25,2026-08-25,1
ANM0034,28.10365,81.13323,338.6,73.0,1,0.02,2026-08-25,2026-08-25,1
ANM0035,25.50674,80.18645,303.8,74.0,1,0.02,2026-08-25,2026-08-25,1
ANM0036,30.3409,85.21023,308.8,70.0,1,0.02,2026-08-24,2026-08-24,1
ANM0037,15.90005,91.3126,304.5,73.0,1,0.02,2026-08-24,2026-08-24,1
ANM0038,28.5196,84.6712,326.9,62.0,1,0.02,2026-08-22,2026-08-22,1
ANM0039,12.44441,69.30241,301.6,73.0,1,0.02,2026-08-22,2026-08-22,1
ANM0040,28.14384,93.68545,301.3,78.0,1,0.02,2026-08-22,2026-08-22,1
ANM0041,20.94613,80.89412,338.2,62.0,1,0.02,2026-08-21,2026-08-21,1
ANM0042,29.78257,73.02664,341.3,82.0,1,0.02,2026-08-21,2026-08-21,1
ANM0043,27.12098,85.70514,334.1,74.0,1,0.02,2026-08-20,2026-08-20,1
