anomaly_id,latitude,longitude,brightness,confidence,detections_30d,persistence_score,first_detected,last_detected,n_detections_total,nearest_industry,nearest_industry_name,distance_m,land_cover,nearest_forest_km,population_proximity,classification
ANM0001,29.26759,86.29238,344.1,75.1,7,0.54,2026-07-20,2026-09-06,14,none,Facility_0,16719.4,residential,1.79,high,Unknown
ANM0002,21.27984,84.1268,344.6,73.1,9,0.58,2026-07-10,2026-09-06,15,industrial_zone,Facility_1,543.0,forest,1.01,high,Industrial Fire
ANM0003,29.2457,86.26971,346.0,89.0,1,0.02,2026-09-06,2026-09-06,1,none,Facility_2,19955.5,unknown,0.3,high,Unknown
ANM0004,21.02219,90.69932,332.6,43.0,1,0.02,2026-09-05,2026-09-05,1,none,Facility_3,18188.0,industrial,1.69,high,Unknown
ANM0005,27.61289,85.24665,340.9,71.7,12,0.64,2026-07-12,2026-09-05,21,power_plant,Facility_4,944.4,unknown,10.85,high,Industrial Fire
ANM0006,24.39688,85.16933,346.9,80.5,7,0.54,2026-07-10,2026-09-05,10,none,Facility_5,17553.4,forest,1.94,low,Wildfire
ANM0007,14.93025,89.61315,336.2,57.0,1,0.02,2026-09-04,2026-09-04,1,none,Facility_6,6596.3,industrial,1.35,low,Unknown
ANM0008,24.38142,85.16846,343.2,74.8,3,0.46,2026-07-14,2026-09-04,8,none,Facility_7,19986.6,industrial,7.77,medium,Unknown
ANM0009,27.86264,82.09102,349.3,66.0,1,0.02,2026-09-04,2026-09-04,1,oil_gas,Facility_8,456.6,unknown,2.59,medium,Unknown
ANM0010,24.50494,77.6744,348.1,63.7,12,0.64,2026-07-28,2026-09-04,14,industrial_zone,Facility_9,1505.3,residential,7.16,low,Industrial Fire
ANM0011,26.96457,75.63557,339.5,80.8,7,0.54,2026-07-18,2026-09-03,9,refinery,Facility_10,1813.7,industrial,5.81,unknown,Industrial Fire
ANM0012,33.101,70.8951,299.3,94.0,1,0.02,2026-09-03,2026-09-03,1,none,Facility_11,18455.5,agricultural,5.81,unknown,Agricultural Burning
ANM0013,10.93374,74.53015,331.2,78.0,1,0.02,2026-09-02,2026-09-02,1,landfill,Facility_12,394.5,agricultural,1.82,high,Agricultural Burning
ANM0014,19.11977,79.69728,323.6,53.0,1,0.02,2026-09-02,2026-09-02,1,none,Facility_13,8612.4,industrial,4.27,high,Unknown
ANM0015,20.94841,80.86951,344.8,79.2,8,0.56,2026-07-11,2026-09-02,16,industrial_zone,Facility_14,2108.0,industrial,14.52,medium,Unknown
ANM0016,23.70502,87.5339,343.9,77.8,8,0.56,2026-07-11,2026-09-02,17,factory,Facility_15,121.5,forest,6.79,medium,Industrial Fire
ANM0017,27.73047,82.2977,339.8,82.9,8,0.56,2026-07-12,2026-09-01,12,mine,Facility_16,905.5,unknown,6.11,low,Mining Activity
ANM0018,27.86934,82.10761,343.6,74.8,4,0.48,2026-07-14,2026-09-01,8,power_plant,Facility_17,1476.0,unknown,3.03,medium,Industrial Fire
ANM0019,25.5336,94.91892,310.0,90.0,1,0.02,2026-09-01,2026-09-01,1,none,Facility_18,14844.0,forest,5.83,high,Wildfire
ANM0020,21.70728,88.97951,297.7,58.0,1,0.02,2026-08-30,2026-08-30,1,landfill,Facility_19,2807.7,residential,3.67,medium,Unknown
ANM0021,23.15302,79.17571,325.5,74.0,1,0.02,2026-08-30,2026-08-30,1,none,Facility_20,5081.4,forest,0.9,low,Wildfire
ANM0022,28.58676,79.08797,350.6,74.2,7,0.54,2026-07-12,2026-08-30,14,refinery,Facility_21,334.6,water,1.77,high,Industrial Fire
ANM0023,14.11273,82.59218,311.2,59.0,1,0.02,2026-08-29,2026-08-29,1,none,Facility_22,14088.9,agricultural,0.85,unknown,Agricultural Burning
ANM0024,10.59457,72.45224,325.3,71.0,1,0.02,2026-08-29,2026-08-29,1,none,Facility_23,17022.2,water,5.47,high,Unknown
ANM0025,15.64767,84.28319,325.8,67.0,1,0.02,2026-08-28,2026-08-28,1,none,Facility_24,8578.3,mining,0.5,unknown,Unknown
ANM0026,10.40413,79.4618,295.7,53.0,1,0.02,2026-08-28,2026-08-28,1,oil_gas,Facility_25,2182.9,unknown,0.46,high,Unknown
ANM0027,29.76432,73.02231,341.8,74.6,5,0.5,2026-07-24,2026-08-28,9,industrial_zone,Facility_26,3760.8,forest,1.08,unknown,Wildfire
ANM0028,26.98656,75.64929,344.8,63.5,2,0.053,2026-08-26,2026-08-27,2,power_plant,Facility_27,939.4,unknown,2.38,unknown,Unknown
